remoteness_area, address_line_1, hospname, address_line_2, ogc_fid, state, _2012_13_peer_group_name, geocode_type, longitude, latitude
"Inner Regional","Bourbong Street","BUNDABERG HOSPITAL","Bundaberg 4670",77,"QLD","Large public acute","establishment",152.3355294,-24.8691838
"Outer Regional","Fisher Street","CHERBOURG HOSPITAL","Cherbourg 4605",78,"QLD","Small public acute with surgery/obstetrics","establishment",151.9570142,-26.2916959
"Inner Regional","Corner of Nissen and Uraween Roads","HERVEY BAY HOSPITAL","Pialba 4655",79,"QLD","Large public acute","establishment",152.8210861,-25.2986132
"Outer Regional","Coronation Drive","MURGON HOSPITAL","Murgon 4605",80,"QLD","Other small public acute","establishment",151.950631,-26.2389211
"Inner Regional","Hospital Road","DALBY HOSPITAL","Dalby 4405",81,"QLD","Small public acute with surgery/obstetrics","establishment",151.2784517,-27.1666886
"Outer Regional","Cunningham Highway","INGLEWOOD HOSPITAL","Inglewood 4387",82,"QLD","Other small public acute","establishment",151.0618186,-28.4177396
"Outer Regional","Mingoola Road","TEXAS HOSPITAL","Texas 4385",83,"QLD","Other small public acute","establishment",151.1791844,-28.8565103
"Very remote","Cavanagh Street","AUGATHELLA HOSPITAL","Augathella 4477",84,"QLD","Very small public","establishment",146.5905515,-25.7957225
"Very remote","Corner of Jane and Cowildi Streets","DIRRANBANDI HOSPITAL","Dirranbandi 4486",85,"QLD","Other small public acute","establishment",148.228943,-28.5788016
"Very remote","95 Ann Street","MITCHELL HOSPITAL","Mitchell 4465",86,"QLD","Other small public acute","establishment",147.9726297,-26.489669
"Remote","1 Victoria Street","ST GEORGE HOSPITAL","St George 4487",87,"QLD","Small public acute with surgery/obstetrics","establishment",148.5931892,-28.0300926
"Remote","Raslie Road","WALLUMBILLA OUTPATIENTS CLINIC","Wallumbilla 4428",88,"QLD","Outpatient hospital","establishment",149.1814627,-26.5816116
"Outer Regional","Stopford Street","BARALABA HOSPITAL","Baralaba 4702",89,"QLD","Very small public","establishment",149.8095674,-24.1842343
"Inner Regional","Park Street","GLADSTONE HOSPITAL","Gladstone 4680",90,"QLD","Medium public acute","establishment",151.2490152,-23.8501045
"Inner Regional","Black Street","MOUNT MORGAN HOSPITAL","Mount Morgan 4714",91,"QLD","Other small public acute","establishment",150.3928352,-23.6448556
"Inner Regional","Canning Street","ROCKHAMPTON BASE HOSPITAL","Rockhampton 4700",92,"QLD","Large public acute","establishment",150.4944974,-23.379618
"Very remote","Shamrock Street","BLACKALL HOSPITAL","Blackall 4472",93,"QLD","Other small public acute","establishment",145.4495974,-24.4224268
"Very remote","Jabiru Street","LONGREACH HOSPITAL","Longreach 4730",94,"QLD","Small public acute with surgery/obstetrics","establishment",144.2609677,-23.4392962
"Very remote","Edkins Street","MUTTABURRA PRIMARY HEALTH CENTRE","Muttaburra 4732",95,"QLD","Outpatient hospital","establishment",144.5467154,-22.5939076
"Very remote","Garden Street","TAMBO PRIMARY HEALTH CENTRE","Tambo 4478",96,"QLD","Outpatient hospital","establishment",146.249191,-24.8804751
"Very remote","Bloomfield Street","WINTON HOSPITAL","Winton 4735",97,"QLD","Other small public acute","establishment",143.0412693,-22.3812377
"Very remote","Victoria Street","WINDORAH CLINIC","Windorah 4481",98,"QLD","Outpatient hospital","establishment",142.654725,-25.420346
"Outer Regional","Elliott Street","MORANBAH HOSPITAL","Moranbah 4744",99,"QLD","Other small public acute","establishment",148.0551067,-22.0020825
"Outer Regional","Queen Elizabeth Drive","DYSART HOSPITAL","Dysart 4745",100,"QLD","Other small public acute","establishment",148.3532304,-22.5828634
"Outer Regional","Gregory Street","BOWEN HOSPITAL","Bowen 4805",101,"QLD","Small public acute with surgery/obstetrics","establishment",148.2397895,-20.007323
"Remote","Garrick Street","COLLINSVILLE HOSPITAL","Collinsville 4804",102,"QLD","Other small public acute","establishment",147.8384043,-20.5460407
"Outer Regional","Tenth Avenue","HOME HILL HOSPITAL","Home Hill 4806",103,"QLD","Very small public","establishment",147.4164218,-19.6613149
"Remote","Beach Road","JOYCE PALMER HEALTH SERVICE","Palm Island 4816",104,"QLD","Other small public acute","establishment",146.5783926,-18.7328859
"Major Cities","Butterfield Street","ROYAL BRISBANE & WOMEN'S HOSPITAL","Herston 4006",105,"QLD","Principal referral","establishment",153.0287449,-27.4467129
"Very remote","Sagaukaz Street","BAMAGA HOSPITAL","Bamaga 4876",106,"QLD","Other small public acute","establishment",142.3850728,-10.8952783
"Very remote","High Street","GEORGETOWN HOSPITAL","Georgetown 4871",107,"QLD","Outpatient hospital","establishment",143.5472185,-18.2922273
"Very remote","Kang Kang Road","AURUKUN PRIMARY HEALTH CARE CENTRE","Aurukun 4871",108,"QLD","Outpatient hospital","route",141.7279246,-13.3550469
"Very remote","Paytam Street","LOCKHART RIVER PRIMARY HEALTH CARE CENTRE","Lockhart River 4871",109,"QLD","Very small public","route",143.3442531,-12.7866264
"Very remote","Hospital Road","BURKETOWN HEALTH CLINIC","Burketown 4830",110,"QLD","Very small public","establishment",139.5481016,-17.7407571
"Very remote","Nowranie Street","CAMOOWEAL HEALTH CLINIC","Camooweal 4828",111,"QLD","Very small public","establishment",138.1187698,-19.9214148
"Remote","1 Musgrave Street","CLONCURRY HOSPITAL","Cloncurry 4824",112,"QLD","Other small public acute","establishment",140.5277308,-20.7039343
"Very remote","Brown Street","NORMANTON HOSPITAL","Normanton 4890",113,"QLD","Other small public acute","establishment",141.0866815,-17.6782474
"Very remote","Gallagher Drive","RICHMOND HOSPITAL","Richmond 4822",114,"QLD","Very small public","establishment",143.1505011,-20.7390096
null,"","Gippsland Southern Health Service","Various",729,"VIC",null,"establishment",145.951411,-38.487372
"Very remote","Lardyl Street","MORNINGTON ISLAND HOSPITAL","Mornington Island 4871",115,"QLD","Other small public acute","establishment",139.1810092,-16.6647294
"Very remote","160 Walker Street","KARUMBA HEALTH CLINIC","Karumba 4891",116,"QLD","Very small public","establishment",140.849371,-17.4798364
"Very remote","Sharpe Street","DOOMADGEE HOSPITAL","Doomadgee 4830",117,"QLD","Other small public acute","establishment",138.8286134,-17.9423448
"Very remote","Korka Street","PORMPURAAW PRIMARY HEALTH CARE CENTRE","Pormpuraaw 4871",118,"QLD","Very small public","route",141.6221489,-14.8998722
"Very remote","Armbrust Street","COEN PRIMARY HEALTH CARE CENTRE","Coen 4871",119,"QLD","Very small public","establishment",143.201418,-13.945128
"Outer Regional","Fourth Avenue","DIMBULAH OUTPATIENTS CLINIC","Cracow 4719",120,"QLD","Outpatient hospital","route",150.2972055,-25.2940713
"Remote","Corner of Elizabeth and William Streets","GLENMORGAN OUTPATIENTS CLINIC","Duaringa 4712",121,"QLD","Outpatient hospital","intersection",149.6715227,-23.7174264
"Outer Regional","Gibson Street","MILLAA MILLAA OUTPATIENTS CLINIC","Meandarra 4422",122,"QLD","Outpatient hospital","route",149.8813305,-27.326693
"Outer Regional","Moonie Highway","MOONIE OUTPATIENTS CLINIC","Moonie 4406",123,"QLD","Outpatient hospital","route",150.3876347,-27.6958761
"Very remote","Victoria Parade","ISLAND MEDICAL SERVICE","Thursday Island",124,"QLD","Outpatient hospital","doctor",142.2108658,-10.5881505
"Inner Regional","Corner of Hogg and Tor Streets","BAILLIE HENDERSON HOSPITAL","Toowoomba 4350",125,"QLD","Psychiatric public","establishment",151.934588,-27.525874
"Major Cities","Corner of Ellerton Drive and Wolston Park Road","THE PARK CENTRE FOR MENTAL HEALTH","Wacol 4076",126,"QLD","Psychiatric public","establishment",152.9100103,-27.6007423
"Major Cities","North TCE","Royal Adelaide Hospital","Adelaide 5000",127,"SA","Principal referral","establishment",138.6088853,-34.9201564
"Remote","North TCE","Cleve District Health and Aged Care","Cleve 5640",128,"SA","Other small public acute","establishment",136.4940168,-33.6982343
"Inner Regional","Parker ST","The Mannum District Hospital","Mannum 5238",129,"SA","Other small public acute","establishment",139.3083479,-34.9165466
"Remote","Bundey TCE","Pinnaroo Soldiers' Memorial Hospital","Pinnaroo 5304",130,"SA","Very small public","establishment",140.9020412,-35.2576964
"Outer Regional","Edmund TCE","Crystal Brook and District Hospital","Crystal Brook 5523",131,"SA","Small public acute with surgery/obstetrics","establishment",138.2129859,-33.3544286
"Outer Regional","South TCE","Jamestown Hospital & Health Service","Jamestown 5491",132,"SA","Small public acute with surgery/obstetrics","establishment",138.616254,-33.2120856
"Outer Regional","Alexander ST","Port Pirie Regional Health Service","Port Pirie 5540",133,"SA","Small public acute with surgery/obstetrics","establishment",138.0040311,-33.177349
"Major Cities","Haydown RD","Lyell McEwin Hospital","Elizabeth Vale 5112",134,"SA","Large public acute","establishment",138.6645818,-34.7476037
"Very remote","Lot 89 Hospital RD","Coober Pedy Hospital & Health Services","Coober Pedy 5723",135,"SA","Other small public acute","establishment",134.7619032,-29.0044964
"Outer Regional","Cradock RD","Hawker Memorial Hospital","Hawker 5434",136,"SA","Very small public","establishment",138.4282361,-31.8934238
"Outer Regional","Hospital RD","Quorn Health Services","Quorn 5433",137,"SA","Other small public acute","establishment",138.0369948,-32.3512353
"Very remote","Dewrang AV","Woomera Community Hospital","Woomera 5720",138,"SA","Very small public","route",136.8254218,-31.1996499
"Outer Regional","Drabsch ST","Loxton Hospital Complex","Loxton 5333",139,"SA","Small public acute with surgery/obstetrics","establishment",140.5645145,-34.4544556
"Major Cities","Flinders DR","Flinders Medical Centre","Bedford Park 5042",140,"SA","Principal referral","establishment",138.5690547,-35.0214038
"Major Cities","Alexander Kelly DR","Noarlunga Public Hospital","Noarlunga Centre 5168",141,"SA","Medium public acute","establishment",138.5006967,-35.1401515
"Outer Regional","Cnr Cooke & Young ST","Kingston Soldiers' Memorial Hospital","Kingston SE 5275",142,"SA","Other small public acute","establishment",139.8484968,-36.8353782
"Outer Regional","18 Church ST","Penola War Memorial Hospital","Penola 5277",143,"SA","Very small public","establishment",140.8364476,-37.3827491
null,"","South East Regional CHS",null,144,"SA","Unpeered","establishment",140.786569,-37.806233
"Outer Regional","Chapman Avenue","Esperance MPC","Dover 7117",145,"TAS","Very small public","establishment",147.0178042,-43.3152596
"Outer Regional","Circassion Street","St Helens District Hospital","St Helens 7216",146,"TAS","Other small public acute","establishment",148.2467734,-41.3234001
"Outer Regional","Gardiners Creek Road","St Marys CHC","St Marys 7215",147,"TAS","Other small public acute","establishment",148.1749618,-41.5647076
"Very remote","James Street","Flinders Island MPC","Whitemark 7255",148,"TAS","Very small public","route",148.0180698,-40.122038
"Outer Regional","Bass Highway","Mersey","Latrobe 7307",149,"TAS","Medium public acute","establishment",146.4211646,-41.2282096
"Major Cities","Bellerine Street","Geelong Hospital","Geelong 3220",150,"VIC","Principal referral","establishment",144.364647,-38.152047
"Outer Regional","Bentinck Street","Portland District Health","Portland 3305",151,"VIC","Small public acute with surgery/obstetrics","establishment",141.6051898,-38.3412033
"Inner Regional","1 Albert Street","Lorne Community Hospital","Lorne 3232",152,"VIC","Other small public acute","establishment",143.9805958,-38.5453019
"Inner Regional","Lot 5B Girdlestone Street","East Grampians Health Service [Ararat]","Ararat 3377",153,"VIC","Small public acute with surgery/obstetrics","establishment",142.9327994,-37.2788911
"Outer Regional","Delacombe Way","East Grampians Health Service [Willaura]","Willaura 3379",154,"VIC","Very small public","establishment",142.7946447,-37.5452043
"Inner Regional","100 Barnard Street","Bendigo Health Care Group [Anne Caudle]","Bendigo 3550",155,"VIC","Non-acute public-rehabilitation and GEM","dentist",144.280592,-36.751096
"Inner Regional","7-25 Caroline Chisholm Drive","Kyneton District Health Service","Kyneton 3444",156,"VIC","Small public acute with surgery/obstetrics","establishment",144.4701294,-37.2547402
"Outer Regional","Ontario Avenue","Mildura Base Hospital","Mildura 3502",157,"VIC","Large public acute","establishment",142.143687,-34.1859523
"Inner Regional","2 Graham Street","Goulburn Valley Health [Shepparton]","Shepparton 3630",158,"VIC","Large public acute","dentist",145.4039947,-36.3629016
"Inner Regional","64-68 Park Street","Goulburn Valley Health [Tatura]","Tatura 3616",159,"VIC","Very small public","establishment",145.2257632,-36.439272
"Inner Regional","33 Piper Street","Yarrawonga Health","Yarrawonga 3730",160,"VIC","Small public acute with surgery/obstetrics","establishment",146.0066169,-36.0118768
"Outer Regional","20 Kiell Street","Upper Murray Health & Community Services [Corryong]","Corryong 3707",161,"VIC","Other small public acute","establishment",147.902714,-36.199312
"Inner Regional","1 Brettoneaux Street","Seymour District Memorial Hospital","Seymour 3660",162,"VIC","Small public acute with surgery/obstetrics","establishment",145.138881,-37.0184784
"Major Cities","Albert Street","Angliss Hospital","Upper Ferntree Gully 3156",163,"VIC","Medium public acute","establishment",145.3140909,-37.8985959
"Major Cities","33 Jacksons Road","Mount Eliza Aged Care & Rehabilitation Service","Mount Eliza 3930",164,"VIC","Unpeered","establishment",145.095328,-38.178793
null,"","Peninsula Health","Various",165,"VIC",null,"dentist",145.128327,-38.151037
null,"","Goulburn Valley Health","Various",166,"VIC",null,"dentist",145.4039947,-36.3629016
null,"","East Grampians Health Service","Various",167,"VIC",null,"establishment",142.9327994,-37.2788911
null,"","Barwon Health","Various",168,"VIC",null,"establishment",144.364647,-38.152047
"Major Cities","ROBERTS RD","Princess Margaret Hospital for Children","SUBIACO 6008",169,"WA","Childrens","establishment",115.8365652,-31.9462972
"Major Cities","ELIZABETH ST","Kalamunda Hospital","KALAMUNDA 6076",170,"WA","Other small public acute","establishment",116.0605667,-31.9667317
"Major Cities","GRAND BVD","Joondalup Health Campus","JOONDALUP 6027",171,"WA","Large public acute","doctor",115.7725457,-31.7381582
"Major Cities","ALMA ST","Fremantle Hospital","FREMANTLE 6160",172,"WA","Large public acute","establishment",115.7543221,-32.0578332
"Major Cities","ELANORA DR","Rockingham General Hospital","COOLOONGUP 6168",173,"WA","Large public acute","establishment",115.7707443,-32.2910896
"Inner Regional","MCKAY ST","Murray Hospital","PINJARRA 6208",174,"WA","Other small public acute","establishment",115.871502,-32.6383398
"Very remote","FALLON RD","Fitzroy Crossing Hospital","FITZROY CROSSING 6765",175,"WA","Other small public acute","establishment",125.5628429,-18.1911713
"Remote","ROBINSON ST","Broome Hospital","BROOME 6725",176,"WA","Small public acute with surgery/obstetrics","establishment",122.2365469,-17.9605118
"Very remote","CLARENDON ST","Derby Hospital","DERBY 6728",177,"WA","Small public acute with surgery/obstetrics","establishment",123.6333405,-17.306183
"Very remote","SECOND AV","Onslow Hospital","ONSLOW 6710",178,"WA","Other small public acute","establishment",115.1149098,-21.639694
"Remote","42 HAMPTON ST","Roebourne Hospital","ROEBOURNE 6718",179,"WA","Very small public","establishment",117.1437282,-20.7764367
"Very remote","MINDARRA DR","Newman Hospital","NEWMAN 6753",180,"WA","Other small public acute","establishment",119.7360836,-23.354903
"Very remote","ROCKLEA RD","Paraburdoo Hospital","PARABURDOO 6754",181,"WA","Very small public","establishment",117.6708412,-23.2029775
"Remote","CLEAVER ST","Carnarvon Hospital","CARNARVON 6701",182,"WA","Small public acute with surgery/obstetrics","establishment",113.658731,-24.887266
"Very remote","LYONS ST","Exmouth Hospital","EXMOUTH 6707",183,"WA","Other small public acute","establishment",114.1203404,-21.9275739
"Outer Regional","SHENTON ST","Geraldton Hospital","GERALDTON 6530",184,"WA","Medium public acute","establishment",114.6106453,-28.783065
"Very remote","SAVAGE ST","Meekatharra Hospital","MEEKATHARRA 6642",185,"WA","Other small public acute","establishment",118.4918057,-26.5911432
"Remote","ELDER ST","Mullewa Hospital","MULLEWA 6630",186,"WA","Very small public","establishment",115.5098779,-28.5362743
"Remote","THOMAS ST","North Midlands Hospital","THREE SPRINGS 6519",187,"WA","Very small public","establishment",115.7592404,-29.5347152
"Remote","STUBBS ST","Lake Grace Hospital","LAKE GRACE 6353",188,"WA","Very small public","establishment",118.4526799,-33.1019421
"Outer Regional","KITCHENER RD","Merredin Hospital","MERREDIN 6415",189,"WA","Other small public acute","establishment",118.276404,-31.485279
"Outer Regional","WILLIAMS RD","Narrogin Hospital","NARROGIN 6312",190,"WA","Small public acute with surgery/obstetrics","establishment",117.165225,-32.9367881
"Inner Regional","ROBINSON ST","Northam Hospital","NORTHAM 6401",191,"WA","Small public acute with surgery/obstetrics","establishment",116.6578961,-31.6495501
"Inner Regional","TREWS RD","York Hospital","YORK 6302",192,"WA","Very small public","establishment",116.7546756,-31.8936209
"Outer Regional","SEWELL ST","Beverley Hospital","BEVERLEY 6304",193,"WA","Very small public","establishment",116.9229057,-32.1034932
"Inner Regional","HOTHAM AV","Boddington Hospital","BODDINGTON 6390",194,"WA","Very small public","establishment",116.475726,-32.8029777
"Outer Regional","CUBBINE RD","Cunderdin Hospital","CUNDERDIN 6407",195,"WA","Very small public","establishment",117.2449508,-31.6542339
"Remote","MYERS ST","Dalwallinu Hospital","DALWALLINU 6609",196,"WA","Other small public acute","establishment",116.6563699,-30.2770077
"Remote","LEAKE ST","Kununoppin Hospital","KUNUNOPPIN 6489",197,"WA","Very small public","establishment",117.9228771,-31.1096487
"Outer Regional","DANDARAGAN ST","Moora Hospital","MOORA 6510",198,"WA","Other small public acute","establishment",116.001313,-30.6396066
"Remote","ADA ST","Narembeen Memorial Hospital","NAREMBEEN 6369",199,"WA","Very small public","route",118.3921577,-32.0619594
"Remote","COOLGARDIE RD","Southern Cross Hospital","SOUTHERN CROSS 6426",200,"WA","Very small public","establishment",119.3370486,-31.2295808
"Outer Regional","ACKLAND ST","Wongan Hills Hospital","WONGAN HILLS 6603",201,"WA","Other small public acute","establishment",116.723687,-30.894768
"Outer Regional","HONOUR AV","Wyalkatchem-Koorda and Districts Hospital","WYALKATCHEM 6485",202,"WA","Very small public","route",117.3841227,-31.1779149
